pmid,study_id,gt_record_idx,model,slot_id,domain,gt_domain_str,gt,pred,match
19487623,King 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Low risk,Low risk,1
19487623,King 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Unclear risk,Low risk,0
19798037,Nidich 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
19798037,Nidich 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Low risk,0
19798037,Nidich 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): All outcomes,Unclear risk,High risk,0
19798037,Nidich 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): All outcomes,Low risk,Low risk,1
19798037,Nidich 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,High risk,Low risk,0
19902798,Sazawal 1996,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
19902798,Sazawal 1996,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Unclear risk,0
19902798,Sazawal 1996,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Low risk,Low risk,1
19902798,Sazawal 1996,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Low risk,Low risk,1
20044929,Hegarty 2013,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
20044929,Hegarty 2013,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Low risk,0
20044929,Hegarty 2013,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),High risk,High risk,1
20044929,Hegarty 2013,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Low risk,High risk,0
20044929,Hegarty 2013,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Low risk,Low risk,1
20102596,Machado 2010,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
20102596,Machado 2010,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Low risk,1
20102596,Machado 2010,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): Dropouts – all outcomes,Low risk,Low risk,1
20298571,Chhagan 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
20298571,Chhagan 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Low risk,1
20298571,Chhagan 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),Low risk,Low risk,1
20298571,Chhagan 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Unclear risk,High risk,0
20395225,Alvarez 2010,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Unclear risk,Low risk,0
20395225,Alvarez 2010,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Unclear risk,1
20395225,Alvarez 2010,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias),High risk,High risk,1
20395225,Alvarez 2010,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias),High risk,High risk,1
20395225,Alvarez 2010,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Unclear risk,Low risk,0
20418251,Wearden 2010,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
20418251,Wearden 2010,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Low risk,1
20418251,Wearden 2010,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias),Unclear risk,Low risk,0
20478960,Banerjee 2010,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
20478960,Banerjee 2010,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Unclear risk,Low risk,0
20478960,Banerjee 2010,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding (performance bias and detection bias): All outcomes,Low risk,High risk,0
20478960,Banerjee 2010,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding (performance bias and detection bias): All outcomes,Low risk,Low risk,1
20478960,Banerjee 2010,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): All outcomes,Low risk,Low risk,1
20579848,Palacios 2009,0,gpt-5.4-mini,random_sequence_generation,Random sequence generation (selection bias),Random sequence generation (selection bias),Low risk,Low risk,1
20579848,Palacios 2009,0,gpt-5.4-mini,allocation_concealment,Allocation concealment (selection bias),Allocation concealment (selection bias),Low risk,Unclear risk,0
20579848,Palacios 2009,0,gpt-5.4-mini,blinding_participants,Blinding of participants and personnel (performance bias),Blinding of participants and personnel (performance bias): Adverse events,Not applicable,High risk,0
20579848,Palacios 2009,0,gpt-5.4-mini,blinding_outcome,Blinding of outcome assessment (detection bias),Blinding of outcome assessment (detection bias): Adverse events,Not applicable,Low risk,0
20579848,Palacios 2009,0,gpt-5.4-mini,incomplete_outcome,Incomplete outcome data (attrition bias),Incomplete outcome data (attrition bias): Adverse events,Not applicable,Low risk,0
